index,NO_OCDE_AREA_GERAL
091dae6d37be02f37a27fbcce0c8ba5c399c2e34,Educação
959265038228c84ad15f8a8782f9720df0f404af,Educação
fc4f8fa7c06bfa7806731f6148324ff43403166f,Educação
c8e99a87ff59c5c675976188d743256fdb84c069,Educação
f5cc5e4fcf7cb9f5b2754ca619ffc4a75661c2d9,Educação
7bd45d3c85397e4ba6f4c9a014948b7581852e74,Educação
f73eef813aaf0d9bccefa73bdda784b047f0b221,Educação
59a85643a76caf22c4a97564718aaf5e4cccade4,Educação
c2094b3f597bdada315fc827392abee9b9071cdb,Educação
7ad8bec1ecbda49c4c60343d7ee692fcab86f41c,Educação
454f8aa2503bfcde13dd80fa35b384de8e02b0c7,Educação
3231db34ac9aef9425d9f6eb43bea91202f64594,Educação
adf7af76df6d7582bfabc60da55e80827f7433b8,Educação
c3a7069485c98a977cc2a5a9227e9670631971ad,Educação
c8f87ee15fdc30803b78934cfe62749b1abea96e,Educação
df38c2b3aada10d2cbf237d2f40b3395d4bbc0c2,Educação
6fd5ab77d4058d15e06c511faffe03606cd3ef15,Educação
174315f365ab622214de16bbb27e1b089a37bdc0,Educação
dd9709ded4d8a7ac0c2a602b943c799a333a20be,Educação
0c3f07796f866f80358144ca730041a87610bdcf,Educação
ea5555ed2debc739496ed80f17dcc7ff22dbea28,Educação
ecfd96c13aeb2e7ad1349e0bc037616c2cca77eb,Educação
7fa74c52055c97ed576fbdfc8d9a9465eab3a523,Educação
c6fae24c3caa7d7401557ea8bbb501cb87f43858,Educação
9f7bbbf82dc05856dcb5134b66ca2bd9478c4033,Educação
68120c39859c99e6d778701ca505c7e1f0d7bcaa,Educação
41730ef22b3d77d99529dfedfb1cd1d5f62e5476,Educação
fc54ed38164d6f06e823b2c8a96f6ab68bb3771b,Educação
142dbe9aef6ebfb215947ebfe148be11280ff59b,Educação
c4f57ed04d77fafaf25cf6e6d05a6d19fcafd715,Educação
4d3918d2c48374e721f02c374053b056c26aa698,Educação
900bfa0947fedbeee2aed81da39088d8bdfbe375,Educação
d642542e0083e583d2073020763eff183a3743dd,Educação
3797d95c1154838e9b4d1adaa415a30ccf826156,Educação
e004b026b4600a1e294af070fae8d8e968903a28,Educação
c1b0635f1d397409f671e962dc4ebac024e5ea4e,Educação
18f55c847e99cfa6e4abb0d572914b72b5a26608,Educação
43e233226bd60f22afcc875db0b14e77480e39fb,Educação
3712b5be49793165360bc8bd150e65432c17776c,Educação
2fd810c4fe744520ce16b7d6fdb844a176ff1bf2,Educação
41f67dd820a2f6d0e0de8cf4db1a1853f1fc9921,Educação
afdb23c172c0efe9e280ffc510094b5cb4f9bf63,Educação
e99c2be016167849e434278cc79948ec60705558,Educação
223587e89e114e6342ea1afab4f507291f94c86e,Educação
5f388cfa1d99f19bb884644480fccf50d244aba5,Educação
6442250d88634d550042b256bd5507b25f85b86a,Educação
0ecd584a2960276302746d4811f8ccf97de48c83,Educação
b479f668609344815f7de900c13c567659647248,Educação
f148a58fa6920fb175338b12e7b2ab09d7dac944,Educação
64bae28950f8f8286ef8ba5d6de3985134856f16,Educação
4a96c3917a0e982cd567260c8a76c3ef828209f9,Educação
afcb1b90837b02fc23248d4f6f095f10f73b1c77,Educação
a949335e1fd5f75611a7d113b249632d127d1c97,Educação
6570056c9a236146894d6850fb99aea3886163f8,Educação
0b2398664e7c8b83d14ed5e99cb1fde37fcb270b,Educação
2b9d6bf552eb50a27f668c9165d69f292bbc0256,Educação
78295ed8158acffa96ab7a2f83b4f8a2f42cb012,Educação
75a20f22745424c9cbbabb0e430130ecc389a846,Educação
9fb55afd79ea6138b97b77541b2ee74eead0a5c6,Educação
26b1ca6ddc04a600524fe521121f974a707fe6d9,Educação
e065beafcdaab172f74d346aa94c732f1ff9c372,Educação
7697a198f11b6ad17f63eb6be19aadbb2c98efbd,Educação
9c429d288f03d474b6e479b622a45cb5889ec579,Educação
86544196dd8bca5bb8016c8f64673229473003d9,Educação
0dade7093caa2a6cb4f2bd332974c16f4d6eb1c4,Educação
6690efdf61968eea203446d687df174a5710c5a8,Educação
f5d2525f6f408bb34d6efb0f72d805baa4c466c6,Educação
04a398653b968814075704c2bfdee37d2b418989,Educação
d61a2fff211e43ad42bcfb1232098f0b2a3dbb88,Educação
e85ab0f4570f7cb89c5b969dd10f0c286a25ca6a,Educação
1e0d557c215c03e74cb9e9d94631130a55436f7b,Educação
970ddfc0705b1dba34dfbd4b328387f6f4a061b1,Educação
037a28997f5a7ddd08a3e2cf06760766e1cdfc8c,Educação
b1ec08b2ed5cf8320fa748e4a9f6e71e089d32b1,Educação
f2abd57b5ab8d2deab753f6ca73b8a077547173c,Educação
a92fd7f29f0644a653d3635527478c0c759b7b60,Educação
947e31c357d14d76708cc40beaea4882dc7a5888,Educação
8b5d4858825bbe3d9784fea63a725c8cbfa650aa,Educação
8c3662ec8af91dca740d46c7bf743eb8ceba9120,Educação
7acaaabcc1d7ae7a9b092d602602a1ca55f1169b,Educação
8814b63dae501242e51e542e8bf4335a7316a342,Educação
5b0375f182d506498ee23777773fa3189b2f45d8,Educação
f589c2488cb2c3334cb34aa04eebe325143d0ca4,Educação
24b0a6f828eef60ceda3c0fd1442e84070f4cffd,Educação
483dcfd7bfba1a09cbe7d9614208ec5ecc997440,Educação
9ed4066f4e87ec3bd1abee43bf23bac5233224cd,Educação
64bd53b5fa48a9fcb194a3158d73e69a090dd76d,Educação
3d6ed7860ac08527286e56aa9763c0de34fed9f8,Educação
56c5f8dc37f2b7523d59e447cde42424d163a244,Educação
ac2031f5fab828695604457e4ea5d27080350fe9,Educação
abdf539204d869e9e88d8797087637da61f66d87,Educação
a9a8a406eef0b96a0c28470e0d2359d0695f9700,Educação
ec6f87cf7c522754544c0364d5e3c1dc41e71879,Educação
270fd37884d45ae2fac45da5774e5afec7d329ff,Educação
02e3e269d3b9a484c8a217817a138c94155d4764,Educação
844cd64474e7fd31cb04fd3b75262fb454214bae,Educação
3b0d16da7b835c76525ae2b9bd0ff8b9ad2bf9fe,Educação
f01586354dfd8d2a6ed6e3646a95d1b2e8012ca5,Educação
f5e3aca46cf1952c45224afaf175e8191ba1ec4c,Educação
6cb9e16d7c19bee70b141b4506e7bd58f2c96a60,Educação
ba7685c3c8588e4399f782eb1d43c8132919bd6e,Educação
b6127b91e99688f6d96865155b061fdf5eff0093,Educação
782a230586a7d8bd03499cfbde26cef74a33c1a7,Educação
a3d50b5efb8929484dd7796912b96c043d80e5c9,Educação
234710c78a80a90e3054d83318f4a35ab3e09963,Educação
2ab140ff92560a91d48b199104d04f39833347ac,Educação
0425361eed18c7ef34f2f041a7f0dd700188d22b,Educação
e714e93d0e7ff1605ff3c4a0802290a377b9a953,Educação
dd1be546cbcc383e6c8a6c60d7307286ac067935,Educação
a08b8ee56ae430d22f82df1aaca679630b2cbf75,Educação
ab640d9ce2213dbf4fa50cf6ed1fcb2e2fc48966,Educação
8087f4902ad37cd737771a85c117d0b570111ee2,Educação
89a8034156e49eb71594c7bfb75521cfa82b0a78,Educação
ec48eeefabd7cb62bfdd7fe1e39f537ff45cfdcd,Educação
e00e6e535640761dfb7d8f05f44aaa68445608c1,Educação
e82f9974d68c03406958810903fce7f335d5ae73,Educação
b24d6a5372f18c9cb970541ccbda0bbbae5b4737,Educação
2410b1534851dfbe37c05d721f634a1f79aede92,Educação
7a956edd4f8e205ea74a88ccee302d91221ec2d0,Educação
8ebb0e5c44af01ab5916dc5758359fbd801165fa,Educação
